"Exp","class","profile","Wood","noWood","hp","hpue","h","htop","v","Froude","Res","Res_rel","Yres","Yres_rel","Zres","angle_res","Resy","Resy_rel","Yy","Yy_rel","Zy","angle_y","Resz","Resz_rel","Yz","Yz_rel","Zz","Zz_rel","angle_z","Reszm","Reszm_rel","Yzm","Yzm_rel","Zzm","Zzm_rel","angle_zm","Ftop","Ftop_rel","t_res","t_y","t_z","t_zm","t_ftop","t_start","t_trans","year","Yy.h","Ftop.hpue","t_spanZ","t_spanZ_ext","integral_y","integral_z_pos","integral_z_neg","integral_z_cl"
11,"1_15",1,15,1,20,6,122.447443139835,21.4474431398345,1.18358503379362,1.0799163110367,96.16272827943,1.27906862719683,88.5553727814003,1.40778516952546,-37.4862142885985,-22.9433382708215,96.16272827943,1.37792201710416,88.5553727814003,1.30765215001027,-37.4862142885985,-22.9433382708215,60.9257839121686,1.08587532425439,36.0546349834614,1.16202489036412,-49.1122636570707,1.11698260973255,-53.7166052520548,29.2587344418671,0.634172996278988,29.1251481954147,0.644574602833868,2.79271977377543,0.34367251620447,5.47716862123787,-38.5536324100238,1.32313457276863,4.38,4.38,4.81708333333333,4.04625,6.5,3.98375,4.08666666666667,2023,0.723211285680097,6.42560540167063,0.102916666666667,0.770833333333334,54.2955890924656,0.0132781614320356,-116.259024923721,-117.496673615212
12,"1_15",1,15,1,20,6,115.792223165376,14.7922231653757,1.20745341614907,1.13291202028956,84.5052968253608,1.12401213999661,78.20737470512,1.24328065931323,-32.0117436775208,-22.260204843199,84.4785768312956,1.21049904752305,78.2626821172075,1.15566522190319,-31.805385255677,-22.1164674864745,72.3928365590058,1.29025167711473,24.4986435885591,0.789580414366238,-68.1215035607677,1.54931842192244,-70.2198131811781,50.3992902232921,1.09238726489497,49.635275868521,1.0984884270748,8.74230201190979,1.07582900299041,9.98909954939341,-45.9960422905963,1.57855304314706,4.55833333333333,4.55916666666667,5.03833333333333,4.27375,6.5,4.20708333333333,4.32208333333333,2023,0.675888932587743,7.66600704843272,0.115,0.764583333333333,38.5732288162003,0.0999340591391664,-132.182010055187,-133.560222336445
13,"1_15",1,15,1,20,6,132.411303214143,31.4113032141426,1.11928715148031,0.982074613551406,98.0367023151408,1.3039945152217,95.8265708149349,1.52337708038062,-20.6993557068284,-12.1890995827682,98.0367023151408,1.40477431351347,95.8265708149349,1.41502223319171,-20.6993557068284,-12.1890995827682,79.3600134544377,1.41442710801885,33.7506566814239,1.08776869181837,-71.8255171165596,1.63356049141698,-64.831269074308,44.8469469160378,0.972042135185853,42.9114484703732,0.94968202974402,13.0328906181406,1.60382948343537,16.8943717049409,-46.1949005398396,1.58537772368185,4.41708333333333,4.41708333333333,4.91583333333333,4.25541666666667,6.5,4.17333333333333,4.35833333333333,2023,0.723703856761828,7.69915008997326,0.185,0.660416666666666,46.9769320794052,0.757968453369156,-132.33710169781,-132.533390640915
14,"1_15",1,15,1,20,6,133.642315971781,32.6423159717808,0.830234749394636,0.725094158682091,86.1936667752886,1.14646929229141,85.3727244874887,1.35718987612588,11.8678602010999,7.91410063443008,86.1936667752886,1.23507468340013,85.3727244874887,1.26065560137021,11.8678602010999,7.91410063443008,59.6575694557428,1.0632720404611,31.8521816318636,1.0265816832039,-50.4426815173177,1.14724090985795,-57.7295152912582,51.1308363228774,1.10824327475801,47.6211796936101,1.05391405329644,18.6168114258532,2.29098761949096,21.3522946008679,-29.1568553791835,1.00064354442988,4.25666666666667,4.25666666666667,4.9875,4.19125,6.5,4.085,4.32333333333333,2023,0.638815062928987,4.85947589653058,0.238333333333333,0.79625,46.5974689661509,1.91034533525336,-92.8531540007705,-90.8486820474547
15,"1_15",1,15,1,20,6,148.992236923778,47.9922369237777,1.03905401402192,0.859452344170366,114.523035127728,1.52328063007516,96.9459363327398,1.54117189198549,-60.967294539246,-32.1649382630695,114.219679115787,1.63666124553873,97.317533230084,1.4370385168628,-59.794923056433,-31.5678610368042,100.319154509214,1.78798018567409,53.0013789561018,1.70821093040777,-85.1750350172821,1.93717466500789,-58.1074724592061,65.1371613365824,1.41182554754724,64.0858036496524,1.41829600857678,11.655880814686,1.43437444951634,10.3082359345139,-71.9352130695438,2.46876782969599,4.62125,4.61708333333333,5.10583333333333,4.32291666666667,6.5,4.23583333333333,4.36875,2023,0.653171837938578,11.9892021782573,0.132916666666667,0.782916666666666,64.0198573628269,0.5222668821515,-185.061309875763,-184.261504762539
16,"1_20",1,20,1,20,6,122.248648609151,21.2486486091509,1.04839563697977,0.957345428414762,60.7679151820346,0.808279207965489,60.5184233950396,0.962075323751488,5.50090404839726,5.1937051287295,60.7455754392349,0.870427319784021,60.5200134400446,0.893668257587042,5.23000082797325,4.93909921556382,46.4846212918499,0.828491649625674,29.1539672385791,0.939619430334794,-36.2058864122751,0.823446986171264,-51.1580344214211,50.5320055663048,1.09526382426557,49.733632737451,1.10066518302814,8.94703086444908,1.10102296643513,10.1983684364085,-32.2529745078978,1.10690025759881,4.37708333333333,4.37666666666667,5.01166666666667,4.38666666666667,6.5,4.2225,4.43875,2023,0.495056707199578,5.37549575131631,0.21625,0.625,36.0757587444661,0.88754185993921,-78.7721445339714,-77.7990042241455
17,"1_20",1,20,1,20,6,136.628394219454,35.6283942194543,1.614926558158,1.39491514959601,86.4219712859799,1.14950599000473,33.8153650789445,0.537570651729286,-79.5316176468983,-66.9657048853053,54.7982830867122,0.785208179049126,51.6479159901366,0.76265850695213,-18.3124166380967,-19.5226002369975,86.3782144845959,1.53951193795377,24.9789232740195,0.805059615559019,-82.6876612900468,1.88060318997617,-73.1910804654005,15.4166846056582,0.334151331407843,13.4792647984452,0.298312362074718,7.48221790138022,0.920762862462634,29.0342584337651,-60.9291356545157,2.0910467012815,4.89875,4.41416666666667,4.98083333333333,4.1925,6.5,4.08083333333333,4.23166666666667,2023,0.378017441288075,10.1548559424193,0.150833333333333,0.788333333333333,30.2997550193655,0.26095918990728,-165.152178052317,-163.91543954212
18,"1_20",1,20,1,20,6,112.229405159488,11.2294051594884,1.43426862270332,1.36691863208131,73.501251878341,0.977646402295222,43.5296387237237,0.692000698606177,-59.2250333918472,-53.6845914543702,68.6216953797348,0.983284757062966,67.8307126303435,1.00162163425987,10.3890086557322,8.7078003795076,72.3103431231638,1.28878140327266,35.9109956450266,1.15739545821002,-62.7629358329625,1.4274460723434,-60.2231554438437,63.8810837161267,1.38460049754701,62.6030115493474,1.3854800337798,12.714393485301,1.56463517827281,11.4803712179828,-46.8918506367579,1.60929657934037,4.92833333333333,4.34166666666667,5.0325,4.34708333333333,6.5,4.28166666666667,4.42041666666667,2023,0.604393407716541,7.81530843945965,0.138750000000001,0.685416666666667,40.517065488612,0.315263209880804,-123.325252788292,-123.388307449336
19,"1_20",1,20,1,20,6,92.1864591056727,-8.81354089432728,0.555456537465533,0.584093013961737,55.5646714087273,0.739070420016424,54.9953229484107,0.874273323100922,7.93392478914752,8.20916274206246,55.5646714087273,0.796189807393608,54.9953229484107,0.812087962991481,7.93392478914752,8.20916274206246,54.299228795848,0.967770767799315,22.0495456724125,0.710647075038114,-49.6207999075392,1.12854848159214,-66.0415060451773,33.8224232849955,0.733089380836974,29.6576160062113,0.656358756698537,16.2598317856468,2.00093734978653,28.7338210441505,-34.9083851915389,1.19803215518652,4.86083333333333,4.86083333333333,5.45291666666667,4.76958333333333,6.5,4.65041666666667,4.94166666666667,2023,0.596566171235299,5.81806419858981,0.29125,0.683333333333334,27.4107436313939,1.84294410426858,-74.016048852024,-75.0957174364338
20,"1_20",1,20,1,20,6,142.305647268904,41.3056472689038,0.848959853253846,0.718524501480655,122.019808034618,1.6229958440878,122.002179798793,1.93949676881259,2.07404849221619,0.973939805557817,122.019808034618,1.74842980250269,122.002179798793,1.8015441379672,2.07404849221619,0.973939805557817,58.0794876269625,1.03514601552562,26.7740447227156,0.862915583469059,-51.5400563852671,1.17219900693155,-62.5490114581752,97.1183284024828,2.10500633371479,96.113010174266,2.12709665697078,13.9376822654973,1.71517327990497,8.25114377944688,-38.0710208242684,1.30657166975756,4.32,4.32,5.55875,4.26583333333333,6.5,4.12375,4.33625,2023,0.857324935027036,6.34517013737806,0.212499999999999,1.29291666666667,72.5321546975934,1.08624691773736,-106.186720607256,-105.331064069525
